,x,y,time,bird,type
10,15.0,14.0,11,9,communicators
11,15.0,11.0,12,9,communicators
12,16.0,9.0,13,9,communicators
13,17.0,10.0,14,9,communicators
14,17.0,9.0,15,9,communicators
15,20.0,9.0,16,9,communicators
16,22.0,11.0,17,9,communicators
17,23.0,10.0,18,9,communicators
18,23.0,9.0,19,9,communicators
19,25.0,10.0,20,9,communicators
20,23.0,8.0,21,9,communicators
21,21.0,9.0,22,9,communicators
22,23.0,11.0,23,9,communicators
23,21.0,10.0,24,9,communicators
24,23.0,8.0,25,9,communicators
25,21.0,7.0,26,9,communicators
26,21.0,9.0,27,9,communicators
27,19.0,11.0,28,9,communicators
28,21.0,10.0,29,9,communicators
29,18.0,10.0,30,9,communicators
30,18.0,8.0,31,9,communicators
31,19.0,10.0,32,9,communicators
32,20.0,11.0,33,9,communicators
33,20.0,13.0,34,9,communicators
34,21.0,15.0,35,9,communicators
35,22.0,13.0,36,9,communicators
36,21.0,12.0,37,9,communicators
37,23.0,14.0,38,9,communicators
38,24.0,14.0,39,9,communicators
39,26.0,16.0,40,9,communicators
40,25.0,17.0,41,9,communicators
41,23.0,15.0,42,9,communicators
42,22.0,14.0,43,9,communicators
43,22.0,14.0,44,9,communicators
44,24.0,15.0,45,9,communicators
45,24.0,15.0,46,9,communicators
46,23.0,16.0,47,9,communicators
47,22.0,16.0,48,9,communicators
48,21.0,17.0,49,9,communicators
49,0.0,0.0,50,9,communicators
