,x,y,time,forager,type
37,33.0,9.0,38,5,communicators
38,30.0,9.0,39,5,communicators
39,27.0,9.0,40,5,communicators
40,26.0,10.0,41,5,communicators
41,26.0,9.0,42,5,communicators
42,27.0,10.0,43,5,communicators
43,27.0,7.0,44,5,communicators
44,29.0,7.0,45,5,communicators
45,30.0,7.0,46,5,communicators
46,32.0,6.0,47,5,communicators
47,30.0,8.0,48,5,communicators
48,27.0,8.0,49,5,communicators
49,25.0,10.0,50,5,communicators
50,23.0,12.0,51,5,communicators
51,20.0,12.0,52,5,communicators
52,18.0,14.0,53,5,communicators
53,20.0,16.0,54,5,communicators
54,21.0,18.0,55,5,communicators
55,21.0,18.0,56,5,communicators
56,22.0,19.0,57,5,communicators
57,21.0,19.0,58,5,communicators
58,22.0,18.0,59,5,communicators
59,22.0,19.0,60,5,communicators
60,21.0,18.0,61,5,communicators
61,20.0,17.0,62,5,communicators
62,20.0,20.0,63,5,communicators
63,22.0,22.0,64,5,communicators
64,24.0,24.0,65,5,communicators
65,24.0,27.0,66,5,communicators
66,25.0,28.0,67,5,communicators
67,26.0,28.0,68,5,communicators
68,26.0,29.0,69,5,communicators
69,26.0,27.0,70,5,communicators
70,28.0,27.0,71,5,communicators
71,29.0,26.0,72,5,communicators
72,28.0,28.0,73,5,communicators
73,28.0,26.0,74,5,communicators
74,30.0,25.0,75,5,communicators
75,30.0,27.0,76,5,communicators
76,29.0,27.0,77,5,communicators
77,29.0,24.0,78,5,communicators
78,27.0,23.0,79,5,communicators
79,28.0,24.0,80,5,communicators
80,29.0,26.0,81,5,communicators
81,28.0,27.0,82,5,communicators
82,26.0,26.0,83,5,communicators
83,23.0,26.0,84,5,communicators
84,20.0,26.0,85,5,communicators
85,17.0,26.0,86,5,communicators
86,15.0,24.0,87,5,communicators
87,12.0,24.0,88,5,communicators
88,11.0,24.0,89,5,communicators
89,10.0,23.0,90,5,communicators
90,12.0,23.0,91,5,communicators
91,10.0,23.0,92,5,communicators
92,8.0,21.0,93,5,communicators
